color,dealer_rating,miles,miles_away,pricing,trim,year
White,,26323,7.2,21150,Grand Touring,2016
Red,,35797,7.2,17897,Touring,2016
Gray,,40708,7.2,18925,Grand Touring,2016
Red,,33020,1.8,17474,Grand Touring,2014
Red,,17291,4.5,18995,Sport,2016
Blue,,40655,4.5,18995,Grand Touring,2016
Silver,,21301,4.5,19695,Touring,2016
Red,,22647,4.5,19795,Touring,2016
Silver,,28805,4.5,20995,Grand Touring,2016
Blue,,20002,4.5,22995,Grand Touring,2016
Silver,,26785,13.7,19594,Touring,2016
Gray,,13547,13.7,20599,Touring,2016
Red,,19796,13.7,21499,Grand Touring,2016
Red,,20658,13.7,22949,Grand Touring,2016
Gray,,4727,13.7,26499,Touring,2019
White,,27554,3.4,20900,Grand Touring,2016
Black,,5633,20.4,27650,Grand Touring,2019
Black,,68489,4.5,14995,Grand Touring,2014
Black,,69871,4.5,15795,Grand Touring,2014
Red,,31593,4.5,18595,Touring,2016
Blue,,14810,4.5,26795,Grand Touring,2019
Gray,,46771,12.4,15994,Grand Touring,2014
Blue,,17354,7.32,20800,Sport,2017
Red,,25736,7.32,21000,Grand Touring,2016
Blue,,16003,7.32,21000,Grand Touring,2016
Gray,,26034,7.32,21300,Grand Touring,2016
Red,,3900,7.32,26500,Touring,2019
Blue,,4000,7.32,26500,Touring,2019
Red,,3500,7.32,26500,Touring,2019
Black,,3500,7.32,26500,Touring,2019
Blue,,3500,7.32,26500,Touring,2019
Blue,,4783,7.32,27000,Touring,2019
Blue,,4325,7.32,27000,Touring,2019
White,,8481,7.32,27300,Touring,2019
Blue,,3000,7.32,32400,Grand Touring Reserve,2019
Gray,,3000,7.32,32500,Grand Touring Reserve,2019
Black,,37135,13.7,16224,Sport,2016
Gray,,23384,13.7,17690,Sport,2016
Blue,,29920,13.7,20999,Grand Touring,2016
White,,31860,13.7,21499,Grand Touring,2016
Black,,3895,13.7,28474,Grand Touring,2019
Blue,,44999,4.5,20395,Grand Touring,2016
Silver,,37717,4.5,23995,Grand Touring,2018
Gray,,28220,5.8,16990,Sport,2016
White,,40401,7.32,19700,Grand Touring,2016
Black,,31689,7.32,20800,Grand Touring,2016
Blue,,38149,7.32,23700,Grand Touring,2018
White,,3500,7.32,26500,Touring,2019
Black,,13574,7.32,26600,Grand Touring,2019
Blue,,14035,7.32,26700,Grand Touring,2019
Silver,,13498,7.32,26700,Grand Touring,2019
Silver,,10764,7.32,26800,Grand Touring,2019
Silver,,39833,24.4,15989,Touring,2015
White,,12761,24.4,22817,Grand Touring,2017
Red,,32921,13.7,17997,Sport,2016
Gray,,40400,13.7,19594,Touring,2016
Silver,,40420,13.7,20394,Grand Touring,2016
Red,,43033,13.7,20499,Grand Touring,2016
Gray,,27954,13.7,20599,Touring,2016
White,,28018,13.7,20988,Touring,2016
Gray,,30972,13.7,21676,Grand Touring,2016
Silver,,23136,,22000,Grand Touring,2016
,,35285,22.4,19441,Grand Touring,2016
Blue,,20105,15.3,24495,Grand Touring,2017
Silver,,12718,34.2,24943,Grand Touring,2017
Silver,,57842,4.5,18795,Grand Touring,2016
Gray,,31891,12.2,17998,Touring,2016
Black,,16549,22.2,20971,Grand Touring,2016
Red,,33039,3.4,23000,Grand Touring,2017
Red,,38689,11.3,17592,Sport,2016
Black,,15001,7.32,26300,Grand Touring,2019
Silver,,15689,7.32,26400,Grand Touring,2019
Blue,,33730,7.5,21100,Grand Touring,2016
White,,17416,6.4,17000,Sport,2016
Gray,,30166,13.7,19997,Touring,2016
Black,,33255,13.7,21499,Grand Touring,2016
Brown,,46141,6.9,14905,Sport,2016
Red,,21967,33.5,19999,Grand Touring,2016
White,,42703,4.5,21995,Touring,2018
Blue,,13038,22.1,26927,Grand Touring,2019
Gray,,25271,85.8,19870,Touring,2016
Blue,,22067,15.1,21997,Touring,2017
Silver,,29504,63.7,17899,Touring,2016
White,,26796,141.8,20690,Grand Touring,2016
Blue,,22407,5.2,18594,Grand Touring,2016
Black,,87558,13.7,14436,Grand Touring,2013
Silver,,24162,123.8,19995,Grand Touring,2016
Gray,,51683,,14700,Sport,2013
Silver,,48961,,15500,Sport,2016
Black,,17219,150.2,18200,Sport,2016
Black,,27352,150.2,18200,Touring,2016
Red,,50655,7.3,16995,Grand Touring,2016
Gray,,26454,109.5,19132,Touring,2016
White,,3882,109.5,28997,Grand Touring,2019
Silver,,14764,113.7,27000,Grand Touring,2019
Black,,24583,125.5,19999,Grand Touring,2016
Gray,,105661,22.3,10916,Grand Touring,2014
Silver,,83874,12.2,15429,Grand Touring,2015
Gray,,14511,33.2,23788,Touring,2017
Red,,12152,33.2,23988,Touring,2017
Red,,24033,64.6,19900,Touring,2016
White,,27874,181.5,16722,Sport,2016
Blue,,28750,181.5,19246,Touring,2016
Gray,,28014,183.7,15995,Touring,2016
White,,31268,85.8,21570,Grand Touring,2016
White,,77824,16.2,15999,Grand Touring,2016
Red,,70237,16.4,15690,Grand Touring,2015
Burgundy,,24989,88.3,20399,Grand Touring,2016
Black,,42187,127.6,16849,Touring,2016
Black,,27306,127.6,16999,Sport,2016
Silver,,24481,127.6,17699,Touring,2016
Black,,70334,7.32,17500,Grand Touring,2016
Black,,42387,134.6,18350,Grand Touring,2016
Red,,26402,98.3,21693,Grand Touring,2016
Red,,21319,64.5,21000,Grand Touring,2016
Blue,,38203,24.5,18928,Grand Touring,2016
White,,42224,185.1,16600,Touring,2016
Gray,,51394,13.7,19997,Grand Touring,2016
Black,,25936,112.2,19993,Grand Touring,2016
Red,,21304,123.8,20299,Grand Touring,2016
Blue,,25495,123.8,21298,Grand Touring,2016
White,,44236,125.5,14597,Sport,2016
Black,,29316,139.3,18997,Touring,2016
Red,,25846,146.2,17995,Sport,2016
Black,,21212,146.6,17500,Touring,2016
Silver,,13403,147.9,26428,Grand Touring,2019
White,,39802,150.2,16600,Sport,2016
Black,,21417,150.2,18500,Sport,2016
Gray,,21229,150.2,19100,Touring,2016
Blue,,27013,150.2,21000,Grand Touring,2016
Blue,,24956,150.2,21200,Grand Touring,2016
Silver,,19474,150.2,21400,Grand Touring,2016
Blue,,57619,30.5,14360,Touring,2014
Black,,27656,100.6,19294,Touring,2016
Blue,,5115,100.6,27991,Touring,2019
Red,,5561,100.6,27991,Touring,2019
Gray,,6395,100.6,27991,Touring,2019
Blue,,6111,100.6,30491,Grand Touring,2019
Red,,6433,100.6,30491,Grand Touring,2019
White,,44987,190.3,19750,Grand Touring,2016
Red,,9245,190.3,26500,Grand Touring,2017
Blue,,49414,41.6,21300,Grand Touring,2018
Silver,,24648,139.0,17750,Sport,2016
Red,,12661,98.1,25346,Grand Touring,2017
White,,87152,190.8,12000,Touring,2013
Silver,,39929,109.5,16971,Sport,2016
Red,,27897,109.5,18685,Touring,2016
White,,44345,109.5,20551,Grand Touring,2016
Silver,,29485,109.5,21315,Grand Touring,2016
Blue,,14872,109.5,21767,Sport,2017
Silver,,17106,109.5,23591,Touring,2017
Silver,,22425,109.5,25253,Grand Touring,2017
Silver,,3019,109.5,29130,Grand Touring,2019
Gray,,1902,109.5,29673,Grand Touring,2019
Blue,,36948,192.3,16900,Touring,2016
White,,37942,193.8,17302,Sport,2016
Blue,,36029,193.8,20686,Grand Touring,2016
Black,,25642,113.7,18997,Touring,2016
Blue,,36185,113.7,19496,Grand Touring,2016
Blue,,15289,46.1,26950,Grand Touring,2019
Silver,,25167,124.1,19190,Touring,2016
White,,5983,124.1,23774,Sport,2019
Red,,16733,135.7,23600,Touring,2017
Red,,24659,136.5,17773,Sport,2016
Gray,,18747,137.5,20985,Grand Touring,2016
Black,,5594,137.5,25985,Touring,2019
Blue,,4255,142.3,25988,Touring,2019
Gray,,6250,142.3,28988,Grand Touring,2019
Gray,,2525,142.3,29988,Grand Touring,2019
Blue,,18749,158.2,19577,Grand Touring,2016
Black,,23274,174.0,20615,Grand Touring,2016
Silver,,30906,181.5,17191,Sport,2016
Black,,41567,181.5,17763,Touring,2016
Gray,,21886,201.9,20985,Grand Touring,2016
White,,12192,85.8,24690,Grand Touring,2016
